seg_id,frac_id,leaf_id,parent_id,area,cx,cy,cz,Tmf
854,94,1481,291,1.59358,574.468,200.443,61.2944,1.27487e-05
855,94,1482,291,27.6866,577.742,201.426,64.828,0.000221493
856,95,26,5,15.6614,294.53,42.9352,49.4732,0.000125291
857,95,33,6,17.0772,305.964,47.5781,49.4732,0.000136618
858,95,93,26,18.7127,318.464,52.6538,49.4732,0.000149701
859,95,94,26,35.7899,337.5,60.3833,49.4732,0.000286319
860,95,101,27,1.35703,350.474,65.6514,49.4732,1.08562e-05
861,95,1088,205,11.6356,297.962,24.1761,73.8833,9.30851e-05
862,95,1090,205,232.65,296.163,33.7655,61.3833,0.0018612
863,95,1092,205,11.766,298.398,22.3159,76.3508,9.41278e-05
864,95,1095,206,1.70875,300.754,24.6939,74.6293,1.367e-05
865,95,1097,206,799.45,310.877,38.1591,63.2983,0.0063956
866,95,1098,206,439.921,337.5,44.6544,68.5251,0.00351937
867,95,1099,206,18.3846,302.504,23.9833,76.3508,0.000147077
868,95,1101,206,73.3951,315.004,29.059,76.3508,0.000587161
869,95,1102,206,91.7797,337.5,38.1936,76.3508,0.000734237
870,95,1105,207,51.9831,353.919,48.0342,72.5067,0.000415865
871,95,1109,207,31.8762,354.341,45.0321,76.3508,0.00025501
872,95,1164,226,48.1217,321,51.6242,51.9674,0.000384973
873,95,1165,226,409.359,337.5,54.9742,56.0251,0.00327487
874,95,1172,227,107.572,352.12,57.6237,60.0067,0.000860579
875,96,1753,332,200.408,641.782,344.968,88.4362,0.00160326
876,96,1760,333,427.575,661.005,341.374,91.2232,0.0034206
877,96,1882,352,219.023,620.566,364.728,90.743,0.00175218
878,96,1883,352,485.041,633.578,360.098,91.8809,0.00388033
879,96,1884,352,5.57973,623.402,375.729,95.0842,4.46379e-05
880,96,1885,352,0.415406,625.374,375.229,95.3256,3.32325e-06
881,96,1890,353,94.7232,655.65,353.46,94.2246,0.000757786
882,97,901,159,299.688,964.044,368.299,9.78274,0.0023975
883,97,902,159,263.25,983.502,367.415,13.539,0.002106
884,97,903,159,514.531,964.896,387.5,9.61001,0.00411625
885,97,904,159,480.432,984.434,387.5,13.3663,0.00384345
886,97,1019,179,367.885,965.937,409.943,9.41679,0.00294308
887,97,1020,179,384.445,985.395,409.06,13.1731,0.00307556
888,98,1467,289,231.912,465.085,245.009,71.1485,0.00185529
889,98,1468,289,7.52997,476.264,248.967,74.3591,6.02398e-05
890,98,1471,289,172.818,469.026,236.378,78.5024,0.00138255
891,98,1472,289,154.812,480.351,245.629,78.5024,0.00123849
892,98,1590,309,92.6616,470.565,253.623,68.5809,0.000741292
893,98,1591,309,408.884,486.849,263.032,70.9965,0.00327107
894,98,1593,309,31.0396,497.433,277.097,67.6339,0.000248317
895,98,1595,309,206.809,492.851,255.84,78.5024,0.00165447
896,98,1598,310,46.2243,503.133,272.441,73.4121,0.000369794
897,98,1600,310,81.9369,504.744,278.321,70.5803,0.000655495
898,98,1602,310,191.846,507.377,268.511,78.0021,0.00153477
899,98,1604,310,1.22388,510.451,275.322,75.3336,9.79107e-06
900,99,1117,208,3.71124,423.939,49.339,81.9574,2.96899e-05
901,99,1118,208,201.291,435.392,46.3771,84.1533,0.00161033
902,99,1177,227,107.88,394.072,71.3102,83.7213,0.000863038
903,99,1179,227,110.275,396.397,80.7812,89.4627,0.000882201
904,99,1184,228,560.706,414.364,62.7198,85.8545,0.00448565
905,99,1185,228,632.439,438.824,60.8462,92.8854,0.00505951
906,99,1186,228,377.568,410.304,83.4557,95.4265,0.00302055
907,99,1187,228,25.0335,427.754,76.7168,97.602,0.000200268
908,99,1192,229,52.1894,452.104,58.5706,96.0407,0.000417515
909,100,317,67,500,399.9,162.5,40,0.004
910,100,319,67,500,399.9,187.5,40,0.004
911,100,428,87,500,399.9,212.5,40,0.004
912,100,430,87,500,399.9,237.5,40,0.004
913,100,553,107,500,399.9,262.5,40,0.004
914,100,555,107,500,399.9,287.5,40,0.004
915,100,678,127,500,399.9,312.5,40,0.004
916,100,680,127,500,399.9,337.5,40,0.004
917,100,1332,267,500,399.9,162.5,60,0.004
918,100,1334,267,500,399.9,187.5,60,0.004
919,100,1450,287,500,399.9,212.5,60,0.004
920,100,1452,287,500,399.9,237.5,60,0.004
921,100,1575,307,500,399.9,262.5,60,0.004
922,100,1577,307,500,399.9,287.5,60,0.004
923,100,1707,327,500,399.9,312.5,60,0.004
924,100,1709,327,500,399.9,337.5,60,0.004
925,101,340,70,500,500.1,162.5,40,0.004
926,101,342,70,500,500.1,187.5,40,0.004
927,101,451,90,500,500.1,212.5,40,0.004
928,101,453,90,500,500.1,237.5,40,0.004
929,101,576,110,500,500.1,262.5,40,0.004
930,101,578,110,500,500.1,287.5,40,0.004
931,101,701,130,500,500.1,312.5,40,0.004
932,101,703,130,500,500.1,337.5,40,0.004
933,101,1355,270,500,500.1,162.5,60,0.004
934,101,1357,270,500,500.1,187.5,60,0.004
935,101,1473,290,500,500.1,212.5,60,0.004
936,101,1475,290,500,500.1,237.5,60,0.004
937,101,1598,310,500,500.1,262.5,60,0.004
938,101,1600,310,500,500.1,287.5,60,0.004
939,101,1730,330,500,500.1,312.5,60,0.004
940,101,1732,330,500,500.1,337.5,60,0.004
941,102,356,72,500,600.1,162.5,40,0.004
942,102,358,72,500,600.1,187.5,40,0.004
943,102,467,92,500,600.1,212.5,40,0.004
944,102,469,92,500,600.1,237.5,40,0.004
945,102,592,112,500,600.1,262.5,40,0.004
946,102,594,112,500,600.1,287.5,40,0.004
947,102,717,132,500,600.1,312.5,40,0.004
948,102,719,132,500,600.1,337.5,40,0.004
949,102,1371,272,500,600.1,162.5,60,0.004
950,102,1373,272,500,600.1,187.5,60,0.004
951,102,1489,292,500,600.1,212.5,60,0.004
952,102,1491,292,500,600.1,237.5,60,0.004
953,102,1614,312,500,600.1,262.5,60,0.004
954,102,1616,312,500,600.1,287.5,60,0.004
955,102,1746,332,500,600.1,312.5,60,0.004
956,102,1748,332,500,600.1,337.5,60,0.004
