leaf_id,parent_id,x,y,z,P,Sw,Sg
397,82,125,225,25,200,0.2,0.05
398,83,162.5,212.5,12.5,200,0.2,0.05
399,83,187.5,212.5,12.5,200,0.2,0.05
400,83,162.5,237.5,12.5,200,0.2,0.05
401,83,187.5,237.5,12.5,200,0.2,0.05
402,83,162.5,212.5,37.5,200,0.2,0.05
403,83,187.5,212.5,37.5,200,0.2,0.05
404,83,162.5,237.5,37.5,200,0.2,0.05
405,83,187.5,237.5,37.5,200,0.2,0.05
406,84,212.5,212.5,12.5,200,0.2,0.05
407,84,237.5,212.5,12.5,200,0.2,0.05
408,84,212.5,237.5,12.5,200,0.2,0.05
409,84,237.5,237.5,12.5,200,0.2,0.05
410,84,212.5,212.5,37.5,200,0.2,0.05
411,84,237.5,212.5,37.5,200,0.2,0.05
412,84,212.5,237.5,37.5,200,0.2,0.05
413,84,237.5,237.5,37.5,200,0.2,0.05
414,85,262.5,212.5,12.5,200,0.2,0.05
415,85,287.5,212.5,12.5,199.993,0.2,0.0500003
416,85,262.5,237.5,12.5,200,0.2,0.05
417,85,287.5,237.5,12.5,199.993,0.2,0.0500003
418,85,262.5,212.5,37.5,200,0.2,0.05
419,85,287.5,212.5,37.5,199.993,0.2,0.0500003
420,85,262.5,237.5,37.5,199.999,0.2,0.05
421,85,287.5,237.5,37.5,199.993,0.2,0.0500003
422,86,325,225,25,199.862,0.2,0.0500069
423,87,362.5,212.5,12.5,198.99,0.2,0.0500505
424,87,387.5,212.5,12.5,195.018,0.2,0.0502497
425,87,362.5,237.5,12.5,198.987,0.2,0.0500507
426,87,387.5,237.5,12.5,195.02,0.2,0.0502496
427,87,362.5,212.5,37.5,194.257,0.2,0.0502879
428,87,387.5,212.5,37.5,161.518,0.2,0.0519593
429,87,362.5,237.5,37.5,194.249,0.2,0.0502884
430,87,387.5,237.5,37.5,161.559,0.2,0.0519572
431,88,412.5,212.5,12.5,199.053,0.2,0.0500474
432,88,437.5,212.5,12.5,199.882,0.2,0.0500059
433,88,412.5,237.5,12.5,199.062,0.2,0.0500469
434,88,437.5,237.5,12.5,199.881,0.2,0.050006
435,88,412.5,212.5,37.5,194.736,0.2,0.0502639
436,88,437.5,212.5,37.5,199.442,0.2,0.0500279
437,88,412.5,237.5,37.5,194.852,0.2,0.050258
438,88,437.5,237.5,37.5,199.428,0.2,0.0500286
439,89,462.5,212.5,12.5,199.876,0.2,0.0500062
440,89,487.5,212.5,12.5,198.969,0.2,0.0500516
441,89,462.5,237.5,12.5,199.863,0.2,0.0500068
442,89,487.5,237.5,12.5,199.021,0.2,0.050049
443,89,462.5,212.5,37.5,199.462,0.2,0.0500269
